mean=1_2_2_2_2_2_2_3_5,0.2358,0.1331,0.181756735318_0.1385_0.1523_0.1523_0.1523_0.1523_0.1523_0.2191_0.821220244371,0.137708685456_0.0247905818429_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.0233866933467_0.809889289214,229,229,249,249,249,249,249,229,229,8,8,8,8,8,8,8,8,8
mean=0_1_1_1_1_2_3_3_5,0.2901,0.214,0.364649681529_0.208583133978_0.208583133978_0.208583133978_0.208583133978_0.1523_0.2191_0.2191_0.821220244371,0.364649681529_0.165979215216_0.165979215216_0.165979215216_0.165979215216_0.040412044374_0.0233866933467_0.0233866933467_0.809889289214,229,249,249,249,249,249,229,229,229,8,8,8,8,8,8,8,8,8
mean=0_0_0_2_4_4_4_5_5,0.4168,0.2807,0.648117606915_0.396496815287_0.396496815287_0.1523_0.2665_0.2665_0.2665_0.679346336199_0.679346336199,0.21178343949_0.396496815287_0.396496815287_0.040412044374_0.18063002681_0.18063002681_0.18063002681_0.469592105922_0.469592105922,133,249,249,249,280,280,280,133,133,5,8,8,8,8,8,8,6,6
mean=0_0_0_2_2_3_3_3_4,0.2473,0.147,0.364649681529_0.364649681529_0.364649681529_0.1523_0.1523_0.2191_0.2368_0.2368_0.1347,0.364649681529_0.364649681529_0.364649681529_0.040412044374_0.040412044374_0.0233866933467_0.0455227613807_0.0455227613807_0.033400357462,229,229,229,249,249,229,249,249,249,8,8,8,8,8,8,8,8,8
mean=1_1_1_2_2_2_2_2_2,0.1606,0.0711,0.181756735318_0.181756735318_0.181756735318_0.1385_0.1523_0.1523_0.1523_0.1523_0.1523,0.137708685456_0.137708685456_0.137708685456_0.0247905818429_0.040412044374_0.040412044374_0.040412044374_0.040412044374_0.040412044374,229,229,229,229,249,249,249,249,249,8,8,8,8,8,8,8,8,8
mean=1_2_2_3_3_5_5_5_5,0.5216,0.2639,0.609655013559_0.2582625_0.2716_0.2582_0.2582_0.688016223936_0.783344599955_0.783344599955_0.783344599955,0.0785575910408_0.040412044374_0.175458455966_0.0722861430715_0.0722861430715_0.483933363844_0.483933363844_0.483933363844_0.483933363844,165,249,280,280,280,165,165,165,165,5,7,8,8,8,6,5,5,5
mean=1_1_3_3_5_5_5_5_5,0.5393,0.2959,0.600969713322_0.307510242231_0.3322_0.3322_0.563554735382_0.679346336199_0.679346336199_0.679346336199_0.679346336199,0.0580552040462_0.165979215216_0.0455227613807_0.0455227613807_0.469592105922_0.469592105922_0.469592105922_0.469592105922_0.469592105922,133,249,249,249,133,133,133,133,133,5,7,7,7,7,6,6,6,6
mean=1_2_3_3_3_3_3_3_5,0.2823,0.1352,0.181756735318_0.1523_0.2191_0.2191_0.2368_0.2368_0.2368_0.2368_0.821220244371,0.137708685456_0.040412044374_0.0233866933467_0.0233866933467_0.0455227613807_0.0455227613807_0.0455227613807_0.0455227613807_0.809889289214,229,249,229,229,249,249,249,249,229,8,8,8,8,8,8,8,8,8
mean=2_2_2_2_3_3_3_3_3,0.1918,0.0341,0.1385_0.1523_0.1523_0.1523_0.2191_0.2191_0.2191_0.2368_0.2368,0.0247905818429_0.040412044374_0.040412044374_0.040412044374_0.0233866933467_0.0233866933467_0.0233866933467_0.0455227613807_0.0455227613807,229,249,249,249,229,229,229,249,249,8,8,8,8,8,8,8,8,8
mean=1_4_4_4_5_5_5_5_5,0.4683,0.2887,0.609655013559_0.2428625_0.2428625_0.2428625_0.575355415912_0.575355415912_0.575355415912_0.575355415912_0.575355415912,0.0785575910408_0.033400357462_0.033400357462_0.033400357462_0.483933363844_0.483933363844_0.483933363844_0.483933363844_0.483933363844,165,249,249,249,165,165,165,165,165,5,7,7,7,7,7,7,7,7
