mean=0_0,0.1385,0.1385,0.138535031847_0.138535031847,0.138535031847_0.138535031847,87,87,8,8
mean=0_1,0.111,0.0864,0.138535031847_0.0835268592193,0.138535031847_0.0341908532358,87,87,8,8
mean=0_2,0.1289,0.0708,0.138535031847_0.1193,0.138535031847_0.00305637310392,87,87,8,8
mean=0_3,0.1732,0.0739,0.138535031847_0.2078,0.138535031847_0.00925462731366,87,133,8,8
mean=0_4,0.1217,0.0693,0.138535031847_0.1048,0.138535031847_0.0,87,133,8,8
mean=1_1,0.0835,0.0342,0.0835268592193_0.0835268592193,0.0341908532358_0.0341908532358,87,87,8,8
mean=1_2,0.1014,0.0186,0.0835268592193_0.1193,0.0341908532358_0.00305637310392,87,87,8,8
mean=1_3,0.1457,0.0217,0.0835268592193_0.2078,0.0341908532358_0.00925462731366,87,133,8,8
mean=1_4,0.0942,0.0171,0.0835268592193_0.1048,0.0341908532358_0.0,87,133,8,8
mean=2_2,0.1193,0.0031,0.1193_0.1193,0.00305637310392_0.00305637310392,87,87,8,8
mean=2_3,0.1635,0.0062,0.1193_0.2078,0.00305637310392_0.00925462731366,87,133,8,8
mean=2_4,0.112,0.0015,0.1193_0.1048,0.00305637310392_0.0,87,133,8,8
mean=3_3,0.2078,0.0093,0.2078_0.2078,0.00925462731366_0.00925462731366,133,133,8,8
mean=3_4,0.1563,0.0046,0.2078_0.1048,0.00925462731366_0.0,133,133,8,8
mean=4_4,0.1048,0.0,0.1048_0.1048,0.0_0.0,133,133,8,8
mean=0_5,0.3123,0.296,0.138535031847_0.486027553033,0.138535031847_0.453452283375,87,87,8,8
mean=1_5,0.317,0.2166,0.189641298034_0.444320208381,0.0240202212552_0.40910155189,64,64,7,8
mean=2_5,0.3027,0.2283,0.1193_0.486027553033,0.00305637310392_0.453452283375,87,87,8,8
mean=3_5,0.3545,0.2394,0.2078_0.501205411865,0.00925462731366_0.469592105922,133,133,8,8
mean=4_5,0.303,0.2348,0.1048_0.501205411865,0.0_0.469592105922,133,133,8,8
mean=5_5,0.486,0.4535,0.486027553033_0.486027553033,0.453452283375_0.453452283375,87,87,8,8
mean=2_6,0.062,0.0015,0.1193_0.0048,0.00305637310392_0.0,87,249,8,6
mean=4_6,0.0548,0.0,0.1048_0.0048,0.0_0.0,133,249,8,6
mean=1_6,0.0393,0.012,0.0738757691812_0.0048,0.0240202212552_0.0,64,249,8,6
mean=3_6,0.1063,0.0046,0.2078_0.0048,0.00925462731366_0.0,133,249,8,6
mean=6_6,0.0048,0.0,0.0048_0.0048,0.0_0.0,249,249,6,6
mean=5_6,0.1274,0.0442,0.249920132818_0.0048,0.0884348737502_0.0,17,249,7,6
mean=0_6,0.0534,0.051,0.101910828025_0.0048,0.101910828025_0.0,64,249,8,6
